site,method,mean_pct,sd_pct,n_s2,method_id,dirn,st,soa,hz
FCz,method_75,51.975683890577514,23.528270492843316,7,75,regular,3.1564128700055254,500,1000→1200
FCz,method_27,48.32826747720365,24.62068619666717,4,27,regular,1.0739778100692317,900,1000→1064
FCz,method_29,46.808510638297875,23.532851096506462,6,29,regular,3.1564128700055254,350,1000→1200
FCz,method_09_counter,46.200607902735555,30.678516887096418,5,9,counter,8.843587129994475,630,1000→600
FCz,method_12,45.288753799392104,16.785345636861773,6,12,regular,3.1564128700055254,400,1000→1200
FCz,method_09,45.288753799392104,33.56748045727761,6,9,regular,8.843587129994475,630,600→1000
FCz,method_37,45.2887537993921,23.03756210440525,4,37,regular,0.8446719346967759,310,1000→1050
FCz,method_32,44.68085106382979,28.09262740473526,6,32,regular,3.1564128700055254,350,1000→1200
FCz,method_30,44.680851063829785,24.59878751209167,7,30,regular,3.1564128700055254,350,1000→1200
FCz,method_28,44.072948328267486,30.032281955090216,6,28,regular,3.1564128700055254,350,1000→1200
FCz,method_19,43.76899696048632,27.215672629274927,1,19,regular,10.65030324889905,200,1000→1850
FCz,method_31,43.161094224924014,26.165723126227622,6,31,regular,3.1564128700055254,350,1000→1200
FCz,method_18,42.249240121580556,31.207976335792114,1,18,regular,10.65030324889905,200,1000→1850
FCz,method_33_counter,40.72948328267478,34.77554342848286,7,33,counter,3.1564128700055254,600,1200→1000
FCz,method_12_counter,40.72948328267477,32.18393857596226,6,12,counter,3.1564128700055254,400,1200→1000
FCz,method_17,40.42553191489362,30.039458985173574,1,17,regular,10.65030324889905,200,1000→1850
FCz,method_44,39.8176291793313,38.58666305131569,4,44,regular,7.916671142804949,510,633→1000
FCz,method_43,39.51367781155015,32.88954180202882,5,43,regular,1.74179306884785,510,633→700
FCz,method_74_counter,39.51367781155015,22.478705543089603,4,74,counter,7.019550008653875,1000,1500→1000
FCz,method_10,36.17021276595745,33.57390178310532,5,10,regular,1.9928721113604713,300,1000→1122
FCz,method_74,31.914893617021278,27.052810103206596,6,74,regular,7.019550008653875,1000,1000→1500
FCz,method_43_counter,31.306990881458972,18.779505157605126,6,43,counter,1.74179306884785,510,700→633
FCz,method_72_counter,26.74772036474164,17.322561518267484,5,72,counter,3.1564128700055254,500,1200→1000
FCz,method_75_counter,25.835866261398174,14.295411569975494,6,75,counter,3.1564128700055254,500,1200→1000
FCz,method_37_counter,21.88449848024316,17.097095574985087,5,37,counter,0.8446719346967759,310,1050→1000
FCz,method_27_counter,16.109422492401215,17.235230799468408,4,27,counter,1.0739778100692317,900,1064→1000
