pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1287,2,-2.7705,2,-1.208,2,2,0
1288,2,-3.1971,3,-1.8609,3,2,1
1289,2,-2.59,3,-1.3503,3,2,1
1290,1,-2.8555,3,-1.6631,3,1,2
1291,2,-1.8757,4,-1.6725,4,2,2
1292,2,-1.5986,2,-1.3162,2,2,0
1293,2,-2.3059,2,-1.2687,2,2,0
1294,3,-3.1248,2,-1.1782,3,2,1
1295,2,-2.1843,1,-0.8471,2,1,1
1296,3,-3.0114,3,-1.171,3,3,0
1297,2,-1.9947,3,-1.8386,3,2,1
1298,2,-3.4634,4,-1.7012,4,2,2
1299,2,-2.0186,2,-1.8258,2,2,0
1300,1,-2.5955,2,-2.1643,2,1,1
1301,3,-1.9442,5,-1.8755,5,3,2
1302,1,-2.578,4,-1.477,4,1,3
1303,2,-1.6294,1,-1.63,2,1,1
1304,2,-1.5329,2,-1.8994,2,2,0
1305,1,-2.1041,2,-1.4885,2,1,1
1306,2,-1.6347,2,-1.4323,2,2,0
1307,3,-1.437,1,-1.4471,3,1,2
1308,3,-2.2923,0,,3,0,3
1309,1,-0.8924,3,-1.5297,3,1,2
1310,1,-2.0473,4,-1.0925,4,1,3
1311,1,-1.0208,4,-1.2037,4,1,3
1312,1,-2.1583,2,-1.1915,2,1,1
1313,3,-1.7053,3,-1.1414,3,3,0
1314,1,-1.0405,4,-1.2148,4,1,3
1315,2,-2.2606,4,-1.5905,4,2,2
1316,2,-1.6618,4,-1.4361,4,2,2
1317,2,-1.5501,4,-1.5605,4,2,2
1318,2,-1.5496,6,-1.3576,6,2,4
1319,2,-2.0879,4,-1.1618,4,2,2
1320,2,-2.066,3,-0.993,3,2,1
1321,2,-2.0331,3,-1.2324,3,2,1
1322,3,-1.8181,4,-1.4203,4,3,1
1323,3,-1.9763,5,-1.2765,5,3,2
1324,2,-1.1593,5,-2.0279,5,2,3
1325,2,-1.7742,4,-1.486,4,2,2
1326,2,-1.8879,4,-1.378,4,2,2
1327,3,-2.5384,3,-1.5202,3,3,0
1328,3,-3.9554,4,-1.3617,4,3,1
1329,3,-2.4283,2,-1.1529,3,2,1
1330,3,-2.759,2,-1.504,3,2,1
1331,3,-3.2321,3,-1.9862,3,3,0
1332,3,-2.2265,3,-1.8682,3,3,0
1333,2,-2.6645,3,-1.6403,3,2,1
1334,1,-2.4658,4,-2.0024,4,1,3
1335,2,-1.5124,4,-1.7753,4,2,2
1336,2,-2.0358,4,-1.3125,4,2,2
1337,2,-1.6663,1,-1.761,2,1,1
1338,3,-1.7361,1,-1.8996,3,1,2
1339,3,-1.2212,2,-2.0579,3,2,1
1340,1,-1.3241,1,-1.8277,1,1,0
1341,2,-1.6827,1,-1.9684,2,1,1
1342,4,-2.3561,3,-1.0774,4,3,1
1343,1,-1.7998,1,-1.1168,1,1,0
1344,2,-1.2821,0,,2,0,2
1345,3,-1.5177,0,,3,0,3
1346,3,-1.7648,2,-1.1811,3,2,1
1347,4,-1.5381,2,-1.5593,4,2,2
1348,4,-1.5159,4,-1.4977,4,4,0
1349,4,-1.521,3,-1.8502,4,3,1
1350,3,-1.5429,3,-1.1873,3,3,0
1351,2,-2.5368,4,-1.1303,4,2,2
1352,2,-3.0919,3,-1.0708,3,2,1
1353,2,-2.3966,1,-1.2909,2,1,1
1354,2,-2.8525,3,-1.2683,3,2,1
1355,4,-2.4009,5,-1.411,5,4,1
1356,4,-2.3956,4,-1.5674,4,4,0
1357,2,-2.3757,4,-1.4688,4,2,2
1358,4,-1.5189,2,-1.737,4,2,2
1359,2,-1.9602,2,-1.4044,2,2,0
1360,3,-2.5472,2,-1.4695,3,2,1
1361,3,-3.168,1,-1.3762,3,1,2
1362,3,-2.7978,2,-1.234,3,2,1
1363,3,-3.0008,4,-2.0217,4,3,1
1364,2,-2.182,3,-2.1279,3,2,1
1365,3,-2.2021,3,-1.9587,3,3,0
1366,4,-1.7922,2,-1.5927,4,2,2
1367,3,-1.8748,3,-1.7793,3,3,0
1368,3,-2.3723,4,-1.8362,4,3,1
1369,2,-2.4268,4,-1.4442,4,2,2
