gate,model,method,method_id,direction,f_low,f_high,semitones,pct_deviance,trough_uv,n_agree,lit_deepest_uv,margin_uv
s2,whisper-base,method_1105_counter,1105,counter,238.0,1600.0,32.9885,572.2689,-1.4349,4,-1.3437,-0.0912
s2,whisper-base,method_1743,1743,regular,1600.0,4150.0,16.5005,159.375,-1.4129,4,-1.3437,-0.0692
s2,whisper-base,method_1794,1794,regular,2075.0,5382.0,16.5004,159.3735,-1.395,5,-1.3437,-0.0513
s2,whisper-base,method_1443_counter,1443,counter,566.0,872.0,7.4823,54.0636,-1.3879,4,-1.3437,-0.0442
s2,whisper-base,method_1601,1601,regular,872.0,6400.0,34.5081,633.945,-1.3862,4,-1.3437,-0.0425
s2,whisper-base,method_1487_counter,1487,counter,617.0,3200.0,28.4968,418.6386,-1.3816,2,-1.3437,-0.0379
s2,whisper-base,method_1718,1718,regular,1467.0,2263.0,7.5044,54.2604,-1.3803,5,-1.3437,-0.0366
s2,whisper-base,method_1230_counter,1230,counter,308.0,4150.0,45.0253,1247.4026,-1.3786,5,-1.3437,-0.0349
s2,whisper-base,method_1793,1793,regular,2075.0,4935.0,14.9993,137.8313,-1.359,5,-1.3437,-0.0153
s2,whisper-base,method_1565,1565,regular,800.0,2468.0,19.5032,208.5,-1.3519,4,-1.3437,-0.0082
s2,whisper-small,method_1812,1812,regular,2263.0,7611.0,20.9982,236.3235,-3.3269,6,-1.4879,-1.839
s2,whisper-small,method_1578,1578,regular,800.0,7611.0,39.0002,851.375,-3.1318,5,-1.4879,-1.6439
s2,whisper-small,method_1525,1525,regular,673.0,7611.0,41.9929,1030.9064,-3.054,6,-1.4879,-1.5661
s2,whisper-small,method_1882,1882,regular,4150.0,7611.0,10.4997,83.3976,-2.9654,6,-1.4879,-1.4775
s2,whisper-small,method_1552,1552,regular,734.0,7611.0,40.4908,936.921,-2.9346,4,-1.4879,-1.4466
s2,whisper-small,method_1798,1798,regular,2075.0,7611.0,22.4997,266.7952,-2.9191,5,-1.4879,-1.4312
s2,whisper-small,method_1603,1603,regular,872.0,7611.0,37.5082,772.8211,-2.8745,6,-1.4879,-1.3866
s2,whisper-small,method_1627,1627,regular,951.0,7611.0,36.0068,700.3155,-2.8592,6,-1.4879,-1.3712
s2,whisper-small,method_1825,1825,regular,2468.0,7611.0,19.4969,208.3874,-2.8416,5,-1.4879,-1.3537
s2,whisper-small,method_1848,1848,regular,2934.0,7611.0,16.5026,159.407,-2.7168,4,-1.4879,-1.2289
s2,whisper-small,method_1650,1650,regular,1037.0,7611.0,34.508,633.9441,-2.5794,5,-1.4879,-1.0915
s2,whisper-small,method_1750,1750,regular,1600.0,7611.0,27.0002,375.6875,-2.5701,6,-1.4879,-1.0822
s2,whisper-small,method_1875,1875,regular,3805.0,7611.0,12.0023,100.0263,-2.5212,5,-1.4879,-1.0333
s2,whisper-small,method_1713,1713,regular,1345.0,7611.0,30.0058,465.8736,-2.3533,4,-1.4879,-0.8654
s2,whisper-small,method_1767,1767,regular,1745.0,7611.0,25.4983,336.1605,-2.2033,4,-1.4879,-0.7154
s2,whisper-small,method_1273,1273,regular,336.0,7611.0,54.0186,2165.1786,-2.1795,5,-1.4879,-0.6916
s2,whisper-small,method_1783,1783,regular,1903.0,7611.0,23.9977,299.9475,-2.1366,5,-1.4879,-0.6487
